model_category,dataset_num,name,title,description,frequency,forecast_length,use_dataset,is_smoke_test,encoding
forecasting,1,air_quality_kdd_2018_50,Air Quality KDD 2018 - 50 Percent,"This is a variation of the Air Quality KDD 2018dataset. In this variation, 50% of the latest epochs from the original timeseries are retained. The Air Quality KDD 2018 is a time series dataset from the KDD Cup 2018 competition, featuring 270 hourly series of air quality data from 59 stations in Beijing and London (01/01/2017 to 31/03/2018). It includes various air quality measurements and handles missing values through zero replacement and carrying forward last observations (LOCF). Useful for benchmarking time series forecasting algorithms in air quality prediction. Original dataset contained air quality data for stations from Beijing and London. In this curated dataset, only the air quality data for stations from Beijing is included.",HOURLY,120,1,0,utf-8
forecasting,2,airline_passengers_50,Airline Passengers - 50 Percent,"This is a variation of the Airline Passengersdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. The `Airline Passengers` dataset consists of monthly data spanning from January 1949 to December 1960, representing the total number of airline passengers in thousands. It is a commonly used dataset in time series analysis and forecasting, making it valuable for studying seasonal patterns and applying forecasting techniques like ARIMA and exponential smoothing in the field of time series analysis.",MONTHLY,24,1,0,utf-8
forecasting,3,atmospheric_co2_concentrations_50,Atmospheric CO2 Concentrations - 50 Percent,"This is a variation of the Atmospheric CO2 Concentrationsdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. The Atmospheric CO2 Concentrations dataset comprises measurements of the concentration of carbon dioxide in the atmosphere, expressed in parts per million (ppm). The data spans from March 1958 onwards, providing a long-term record of one of the greenhouse gases affecting Earth's climate. The dataset's monthly resolution allows for observing seasonal variations and long-term trends in CO2 concentrations. Sourced from the National Oceanic and Atmospheric Association (NOAA) Global Monitoring Laboratory, this dataset is a valuable resource in climate change research and environmental studies.",MONTHLY,24,1,0,utf-8
forecasting,4,australian_beer_production_50,Australian Beer Production - 50 Percent,"This is a variation of the Australian Beer Productiondataset. In this variation, 50% of the latest epochs from the original timeseries are retained. The `Australian Beer Production Dataset` is a univariate time series dataset detailing quarterly beer production in megaliters in Australia from 1956 to 2010, ideal for analyzing seasonal patterns and long-term trends in the brewing industry.",QUARTERLY,12,1,0,utf-8
forecasting,5,avocado_sales_50,Avocado Sales - 50 Percent,"This is a variation of the Avocado Salesdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset is sourced from the Hass Avocado Board.  It contains data from weekly retail scans over 169 weeks beginning in January 2015, detailing national sales volume (units) and prices of Hass avocados. The information is sourced directly from the sales records of retailers, reflecting actual sales. It covers various retail outlets including grocery stores, mass merchandisers, club and drug stores, dollar stores, and military commissaries. The average price listed represents the cost per individual avocado, even if sold in multi-unit bags. The dataset only includes Product Lookup codes (PLUs) for Hass avocados, excluding other avocado types like greenskins.",WEEKLY,26,1,0,utf-8
forecasting,6,bank_branch_transactions_50,Bank Branch Transactions - 50 Percent,"This is a variation of the Bank Branch Transactionsdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. The Bank Branch Network Simulation dataset is a synthetic dataset that emulates the transaction activities of a fictitious bank network consisting of 32 branches over a period of 169 weeks. It captures the weekly transaction data for 6 different transaction types at each branch while simulating correlations between transaction types and branches. The dataset also models the impact of bank holidays. It is versatile, suitable for multi-variate forecasting, or individual series forecasting, with the option to use other transaction series as exogenous factors for forecasting tasks.",WEEKLY,26,1,0,utf-8
forecasting,7,climate_related_disasters_50,Climate Related Disasters Frequency - 50 Percent,"This is a variation of the Climate Related Disasters Frequencydataset. In this variation, 50% of the latest epochs from the original timeseries are retained. The links between climate change and natural disasters are well documented in a wide variety of climate change literature. This dataset represents data for these climate-related disasters over time by country.",YEARLY,6,1,0,utf-8
forecasting,8,daily_stock_prices_50,Daily Stock Prices  - 50 Percent,"This is a variation of the Daily Stock Prices dataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset provides historical stock data from 52 selected S&P 500 companies over three decades. It aims to capture individual stock trends and patterns while avoiding market-wide influences. The dataset spans 1000 trading days for each stock, with random start dates to ensure decorrelation. Stock tickers have been anonymized to focus on technical analysis. It's ideal for time series forecasting and technical analysis in a real-world stock market context.",DAILY,28,1,0,utf-8
forecasting,9,daily_weather_50,Daily Weather in 26 World Cities - 50 Percent,"This is a variation of the Daily Weather in 26 World Citiesdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset spans 3 years and includes daily weather measurements for 26 cities worldwide. It comprises 17 weather parameters, making it suitable for both multi-variate and single-series forecasting tasks. With data from January 2020 to December 2022, it's an ideal resource for forecasting the 'temperature' series while leveraging other weather measurements as potential exogenous factors.",DAILY,28,1,0,utf-8
forecasting,10,gdp_per_capita_growth_50,GDP per Capita Change - 50 Percent,"This is a variation of the GDP per Capita Changedataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset detailing GDP per Capita change from 1961 to 2019 for 89 countries provides a comprehensive look at economic growth and contraction over nearly six decades. Sourced from the World Bank, a reputable authority in global economic data, this dataset offers annual percentage changes in Gross Domestic Product (GDP) for a wide range of countries, reflecting the economic performance of each nation over time. The dataset's extended timeframe and broad coverage make it an invaluable tool for testing various time series forecasting models, offering insights into cyclical patterns, long-term trends, and potential future trajectories of economies.",YEARLY,6,1,0,utf-8
