series_id,date,total_bulk_and_bagged_units,average_sales_price,plu_4046_units,plu_4225_units,plu_4770_units,small_bagged_units,large_bagged_units,xlarge_bagged_units,is_organic
Albany_conventional,2016-08-14,110.528,1.2,24.001,72.97,0.027,12.435,0.35,0.746,0
Albany_conventional,2016-08-21,94.883,1.43,14.52,63.417,0.028,15.811,0.287,0.82,0
Albany_conventional,2016-08-28,145.323,1.18,34.913,94.929,0.054,14.368,0.27,0.79,0
Albany_conventional,2016-09-04,95.456,1.44,14.741,64.967,0.088,15.34,0.22,0.1,0
Albany_conventional,2016-09-11,81.473,1.37,6.259,63.512,0.042,10.839,0.816,0.005,0
Albany_conventional,2016-09-18,79.514,1.39,6.624,63.385,0.037,8.958,0.509,0.0,0
Albany_conventional,2016-09-25,96.853,1.62,7.659,79.426,0.043,9.587,0.139,0.0,0
Albany_conventional,2016-10-02,75.48,1.51,4.109,57.516,0.084,13.346,0.426,0.0,0
Albany_conventional,2016-10-09,101.088,1.13,3.641,87.174,0.102,9.744,0.425,0.0,0
Albany_conventional,2016-10-16,69.061,1.4,4.027,54.187,0.054,10.434,0.359,0.0,0
Albany_conventional,2016-10-23,92.08,1.19,4.223,77.537,0.046,10.16,0.114,0.0,0
Albany_conventional,2016-10-30,58.375,1.46,3.187,45.899,0.054,9.153,0.082,0.0,0
Albany_conventional,2016-11-06,57.178,1.63,3.212,43.024,0.036,10.474,0.431,0.0,0
Albany_conventional,2016-11-13,63.608,1.62,3.524,49.838,0.034,9.791,0.422,0.0,0
Albany_conventional,2016-11-20,70.09,1.56,3.676,56.899,0.011,9.238,0.209,0.057,0
Albany_conventional,2016-11-27,58.172,1.52,2.794,47.106,0.018,7.974,0.28,0.0,0
Albany_conventional,2016-12-04,113.032,1.48,6.531,99.746,0.051,6.476,0.228,0.0,0
Albany_conventional,2016-12-11,71.778,1.49,2.323,56.546,0.087,12.177,0.645,0.0,0
Albany_conventional,2016-12-18,68.939,1.53,3.345,55.95,0.139,8.877,0.588,0.04,0
Albany_conventional,2016-12-25,73.342,1.52,3.202,58.28,0.427,11.017,0.412,0.003,0
Albany_conventional,2017-01-01,129.948,1.47,4.846,117.027,0.2,7.867,0.008,0.0,0
Albany_conventional,2017-01-08,91.728,1.55,3.355,75.641,0.057,12.607,0.068,0.0,0
Albany_conventional,2017-01-15,88.526,1.55,3.328,71.957,0.607,12.575,0.06,0.0,0
Albany_conventional,2017-01-22,128.679,1.59,4.12,111.173,2.192,11.06,0.126,0.009,0
