branch_id,week_start_date,Act_5_0__40944,Act_5_0__45308,Act_5_0__82324,Act_5_0__89097,Act_5_0__94157,Act_5_0__96723,num_holidays,is_region_1,is_region_2
15338984_74844,2014-11-10,216.024,326.432,319.716,154.344,274.47,259.317,1,1,0
15338984_74844,2014-11-17,207.331,313.154,249.47,132.494,306.591,215.528,0,1,0
15338984_74844,2014-11-24,152.388,270.808,229.781,89.175,280.366,159.327,1,1,0
15338984_74844,2014-12-01,308.758,277.111,254.71,180.096,327.029,306.562,0,1,0
15338984_74844,2014-12-08,287.587,339.464,305.43,189.114,475.534,293.831,0,1,0
15338984_74844,2014-12-15,269.242,298.615,306.649,135.661,483.108,269.41,0,1,0
15338984_74844,2014-12-22,200.628,271.509,286.098,107.073,474.974,246.418,1,1,0
15338984_74844,2014-12-29,166.359,257.765,260.345,113.0,397.556,287.125,1,1,0
15338984_74844,2015-01-05,234.169,279.875,312.658,185.567,584.18,327.322,0,1,0
15338984_74844,2015-01-12,196.464,405.511,312.406,171.846,487.605,351.151,0,1,0
15338984_74844,2015-01-19,123.238,202.559,195.425,131.451,251.805,234.608,1,1,0
15338984_74844,2015-01-26,148.487,353.745,234.793,189.988,257.717,281.454,0,1,0
15338984_74844,2015-02-02,166.296,324.625,249.887,198.198,278.125,325.418,0,1,0
15338984_74844,2015-02-09,185.358,462.741,320.224,162.619,385.962,384.149,0,1,0
15338984_74844,2015-02-16,149.433,351.565,320.733,122.219,314.928,311.392,0,1,0
15338984_74844,2015-02-23,165.906,405.021,291.368,114.603,339.435,288.358,0,1,0
15338984_74844,2015-03-02,225.465,430.277,361.086,142.57,427.623,330.471,0,1,0
15338984_74844,2015-03-09,210.43,488.8,335.207,143.216,515.052,359.32,0,1,0
15338984_74844,2015-03-16,197.195,359.739,285.031,112.209,429.651,259.106,0,1,0
15338984_74844,2015-03-23,177.723,294.856,236.905,97.461,367.439,190.684,0,1,0
15338984_74844,2015-03-30,228.137,254.653,256.572,107.517,353.673,169.041,0,1,0
15338984_74844,2015-04-06,210.549,230.0,283.408,108.381,355.531,206.572,0,1,0
15338984_74844,2015-04-13,202.744,203.615,271.857,91.972,338.663,188.008,0,1,0
15338984_74844,2015-04-20,149.491,139.215,199.428,71.729,220.83,177.804,0,1,0
15338984_74844,2015-04-27,177.218,119.491,219.959,84.697,265.315,229.557,0,1,0
15338984_74844,2015-05-04,196.851,121.026,260.935,98.415,300.03,235.198,0,1,0
15338984_74844,2015-05-11,184.135,216.373,276.67,98.166,319.683,220.762,0,1,0
15338984_74844,2015-05-18,137.803,201.351,252.212,86.356,226.137,186.764,0,1,0
15338984_74844,2015-05-25,103.797,214.409,254.587,87.64,209.103,178.895,1,1,0
15338984_74844,2015-06-01,177.311,250.696,328.765,110.007,269.502,216.172,0,1,0
15338984_74844,2015-06-08,217.138,289.731,397.82,124.291,443.296,256.527,0,1,0
15338984_74844,2015-06-15,232.131,290.25,327.814,111.202,500.394,237.153,0,1,0
15338984_74844,2015-06-22,239.904,293.811,260.0,108.48,523.312,297.704,0,1,0
15338984_74844,2015-06-29,305.161,339.901,285.781,124.064,490.733,313.116,1,1,0
15338984_74844,2015-07-06,316.779,364.152,240.857,141.697,592.176,374.303,0,1,0
15338984_74844,2015-07-13,238.985,380.999,256.622,114.338,537.27,367.224,0,1,0
15338984_74844,2015-07-20,214.917,281.538,193.333,91.075,365.669,366.13,0,1,0
15338984_74844,2015-07-27,192.816,294.151,150.986,101.525,340.839,371.37,0,1,0
15338984_74844,2015-08-03,217.073,252.959,206.426,108.761,363.546,402.031,0,1,0
15338984_74844,2015-08-10,187.841,346.125,237.233,117.98,434.48,403.293,0,1,0
15338984_74844,2015-08-17,158.407,251.052,200.367,81.844,312.155,402.257,0,1,0
15338984_74844,2015-08-24,152.809,279.817,197.489,86.686,312.44,394.998,0,1,0
15338984_74844,2015-08-31,142.891,273.137,210.099,96.7,251.759,392.786,0,1,0
15338984_74844,2015-09-07,140.943,248.012,175.222,99.147,340.55,317.596,1,1,0
15338984_74844,2015-09-14,167.096,221.179,156.994,90.296,363.812,328.805,0,1,0
15338984_74844,2015-09-21,130.484,155.966,128.418,67.713,350.316,377.347,0,1,0
15338984_74844,2015-09-28,175.52,174.946,162.095,89.965,351.116,396.175,0,1,0
15338984_74844,2015-10-05,212.337,224.667,205.362,96.985,403.137,437.925,0,1,0
15338984_74844,2015-10-12,134.205,235.737,163.745,74.973,339.173,326.087,1,1,0
15338984_74844,2015-10-19,171.216,227.826,249.204,64.701,331.45,336.62,0,1,0
15338984_74844,2015-10-26,181.265,284.433,278.505,63.896,393.909,390.918,0,1,0
15338984_74844,2015-11-02,227.945,278.55,330.247,81.448,438.639,358.173,0,1,0
15338984_74844,2015-11-09,311.986,293.13,310.279,109.868,467.166,404.572,1,1,0
15338984_74844,2015-11-16,213.74,285.058,306.577,129.959,377.022,299.714,0,1,0
15338984_74844,2015-11-23,143.356,217.952,260.885,105.073,264.067,255.309,1,1,0
15338984_74844,2015-11-30,249.456,275.991,319.905,219.937,361.677,349.207,0,1,0
15338984_74844,2015-12-07,293.82,334.577,336.814,195.737,472.93,382.488,0,1,0
15338984_74844,2015-12-14,255.035,349.052,364.517,212.423,502.394,297.639,0,1,0
15338984_74844,2015-12-21,188.881,250.955,187.411,139.721,434.168,236.814,1,1,0
15338984_74844,2015-12-28,205.126,236.126,236.589,150.276,464.116,218.529,1,1,0
15338984_74844,2016-01-04,293.028,294.418,281.492,258.26,545.313,310.458,0,1,0
15338984_74844,2016-01-11,239.684,400.276,314.644,226.178,422.95,264.088,0,1,0
15338984_74844,2016-01-18,109.269,233.53,232.101,127.525,218.71,206.302,1,1,0
15338984_74844,2016-01-25,140.752,322.825,206.018,155.788,203.462,251.251,0,1,0
15338984_74844,2016-02-01,183.749,365.853,247.65,190.291,232.972,329.948,0,1,0
15338984_74844,2016-02-08,196.834,386.281,261.894,179.643,354.035,333.445,0,1,0
15338984_74844,2016-02-15,163.704,456.37,269.029,129.94,396.817,320.0,0,1,0
15338984_74844,2016-02-22,149.216,404.193,308.744,115.984,451.047,365.197,0,1,0
15338984_74844,2016-02-29,170.132,453.3,361.752,134.381,454.942,450.325,0,1,0
15338984_74844,2016-03-07,177.313,504.644,349.63,125.718,526.742,462.1,0,1,0
15338984_74844,2016-03-14,161.708,456.366,341.512,133.059,486.059,398.103,0,1,0
15338984_74844,2016-03-21,178.721,303.421,286.039,153.37,365.646,328.438,0,1,0
15338984_74844,2016-03-28,192.953,253.991,274.591,153.04,338.041,364.805,0,1,0
15338984_74844,2016-04-04,203.287,247.827,304.14,161.192,372.929,383.386,0,1,0
15338984_74844,2016-04-11,160.058,311.972,344.889,142.757,416.301,408.614,0,1,0
15338984_74844,2016-04-18,112.952,235.591,308.411,102.357,264.176,301.759,0,1,0
15338984_74844,2016-04-25,111.279,276.719,317.537,119.463,237.332,308.283,0,1,0
15338984_74844,2016-05-02,130.912,255.85,369.36,134.835,246.819,306.293,0,1,0
15338984_74844,2016-05-09,136.923,294.885,430.118,120.413,321.402,327.593,0,1,0
15338984_74844,2016-05-16,109.21,283.947,371.269,107.153,274.24,254.104,0,1,0
15338984_74844,2016-05-23,115.766,245.806,305.968,98.402,251.814,192.256,0,1,0
15338984_74844,2016-05-30,121.385,294.782,295.857,111.022,270.197,185.977,1,1,0
15338984_74844,2016-06-06,179.013,370.964,368.714,149.578,434.783,251.643,0,1,0
15338984_74844,2016-06-13,208.12,371.151,371.851,155.647,555.358,285.065,0,1,0
15338984_74844,2016-06-20,212.55,339.351,302.384,121.781,508.803,271.534,0,1,0
