Country,Year,Total Disasters,Drought,Extreme temperature,Flood,Landslide,Storm,Wildfire
"Afghanistan, Islamic Rep. of",2001-01-01,2.0,0.0,2.0,0.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",2002-01-01,5.0,0.0,0.0,4.0,1.0,0.0,0.0
"Afghanistan, Islamic Rep. of",2003-01-01,8.0,0.0,0.0,8.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",2004-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",2005-01-01,10.0,0.0,1.0,8.0,0.0,1.0,0.0
"Afghanistan, Islamic Rep. of",2006-01-01,12.0,1.0,0.0,7.0,2.0,2.0,0.0
"Afghanistan, Islamic Rep. of",2007-01-01,7.0,0.0,0.0,7.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",2008-01-01,3.0,1.0,1.0,1.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",2009-01-01,4.0,0.0,0.0,3.0,1.0,0.0,0.0
"Afghanistan, Islamic Rep. of",2010-01-01,4.0,0.0,0.0,2.0,2.0,0.0,0.0
"Afghanistan, Islamic Rep. of",2011-01-01,4.0,1.0,0.0,2.0,0.0,1.0,0.0
"Afghanistan, Islamic Rep. of",2012-01-01,10.0,0.0,1.0,6.0,3.0,0.0,0.0
"Afghanistan, Islamic Rep. of",2013-01-01,5.0,0.0,0.0,4.0,1.0,0.0,0.0
"Afghanistan, Islamic Rep. of",2014-01-01,3.0,0.0,0.0,2.0,0.0,1.0,0.0
"Afghanistan, Islamic Rep. of",2015-01-01,5.0,0.0,0.0,1.0,4.0,0.0,0.0
"Afghanistan, Islamic Rep. of",2016-01-01,4.0,0.0,0.0,4.0,0.0,0.0,0.0
Algeria,2001-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Algeria,2002-01-01,3.0,0.0,0.0,3.0,0.0,0.0,0.0
Algeria,2003-01-01,5.0,0.0,1.0,3.0,0.0,1.0,0.0
Algeria,2004-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Algeria,2005-01-01,3.0,0.0,0.0,2.0,0.0,1.0,0.0
Algeria,2006-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Algeria,2007-01-01,7.0,0.0,0.0,6.0,0.0,0.0,1.0
Algeria,2008-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Algeria,2009-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Algeria,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2011-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Algeria,2012-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Algeria,2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2015-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Algeria,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,2001-01-01,3.0,1.0,0.0,2.0,0.0,0.0,0.0
Angola,2002-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Angola,2003-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Angola,2004-01-01,4.0,1.0,0.0,3.0,0.0,0.0,0.0
Angola,2005-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Angola,2006-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Angola,2007-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Angola,2008-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Angola,2009-01-01,3.0,0.0,0.0,3.0,0.0,0.0,0.0
Angola,2010-01-01,3.0,0.0,0.0,3.0,0.0,0.0,0.0
Angola,2011-01-01,4.0,0.0,0.0,4.0,0.0,0.0,0.0
Angola,2012-01-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Angola,2013-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Angola,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,2015-01-01,3.0,0.0,0.0,3.0,0.0,0.0,0.0
Angola,2016-01-01,4.0,0.0,0.0,4.0,0.0,0.0,0.0
Argentina,2001-01-01,7.0,0.0,1.0,3.0,0.0,2.0,1.0
Argentina,2002-01-01,3.0,0.0,1.0,1.0,0.0,1.0,0.0
Argentina,2003-01-01,4.0,1.0,0.0,2.0,0.0,1.0,0.0
Argentina,2004-01-01,3.0,0.0,1.0,2.0,0.0,0.0,0.0
Argentina,2005-01-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Argentina,2006-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Argentina,2007-01-01,3.0,0.0,1.0,2.0,0.0,0.0,0.0
Argentina,2008-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Argentina,2009-01-01,5.0,1.0,0.0,2.0,1.0,1.0,0.0
Argentina,2010-01-01,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Argentina,2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
