Indicator,Date,Value
Monthly Atmospheric Carbon Dioxide Concentrations,1991-01-01,354.93
Monthly Atmospheric Carbon Dioxide Concentrations,1991-02-01,355.82
Monthly Atmospheric Carbon Dioxide Concentrations,1991-03-01,357.33
Monthly Atmospheric Carbon Dioxide Concentrations,1991-04-01,358.77
Monthly Atmospheric Carbon Dioxide Concentrations,1991-05-01,359.23
Monthly Atmospheric Carbon Dioxide Concentrations,1991-06-01,358.23
Monthly Atmospheric Carbon Dioxide Concentrations,1991-07-01,356.3
Monthly Atmospheric Carbon Dioxide Concentrations,1991-08-01,353.97
Monthly Atmospheric Carbon Dioxide Concentrations,1991-09-01,352.34
Monthly Atmospheric Carbon Dioxide Concentrations,1991-10-01,352.43
Monthly Atmospheric Carbon Dioxide Concentrations,1991-11-01,353.89
Monthly Atmospheric Carbon Dioxide Concentrations,1991-12-01,355.21
Monthly Atmospheric Carbon Dioxide Concentrations,1992-01-01,356.34
Monthly Atmospheric Carbon Dioxide Concentrations,1992-02-01,357.21
Monthly Atmospheric Carbon Dioxide Concentrations,1992-03-01,357.97
Monthly Atmospheric Carbon Dioxide Concentrations,1992-04-01,359.22
Monthly Atmospheric Carbon Dioxide Concentrations,1992-05-01,359.71
Monthly Atmospheric Carbon Dioxide Concentrations,1992-06-01,359.44
Monthly Atmospheric Carbon Dioxide Concentrations,1992-07-01,357.15
Monthly Atmospheric Carbon Dioxide Concentrations,1992-08-01,354.99
Monthly Atmospheric Carbon Dioxide Concentrations,1992-09-01,353.01
Monthly Atmospheric Carbon Dioxide Concentrations,1992-10-01,353.41
Monthly Atmospheric Carbon Dioxide Concentrations,1992-11-01,354.42
Monthly Atmospheric Carbon Dioxide Concentrations,1992-12-01,355.68
Monthly Atmospheric Carbon Dioxide Concentrations,1993-01-01,357.1
Monthly Atmospheric Carbon Dioxide Concentrations,1993-02-01,357.42
Monthly Atmospheric Carbon Dioxide Concentrations,1993-03-01,358.59
Monthly Atmospheric Carbon Dioxide Concentrations,1993-04-01,359.39
Monthly Atmospheric Carbon Dioxide Concentrations,1993-05-01,360.3
Monthly Atmospheric Carbon Dioxide Concentrations,1993-06-01,359.64
Monthly Atmospheric Carbon Dioxide Concentrations,1993-07-01,357.45
Monthly Atmospheric Carbon Dioxide Concentrations,1993-08-01,355.76
Monthly Atmospheric Carbon Dioxide Concentrations,1993-09-01,354.14
Monthly Atmospheric Carbon Dioxide Concentrations,1993-10-01,354.23
Monthly Atmospheric Carbon Dioxide Concentrations,1993-11-01,355.53
Monthly Atmospheric Carbon Dioxide Concentrations,1993-12-01,357.03
Monthly Atmospheric Carbon Dioxide Concentrations,1994-01-01,358.36
Monthly Atmospheric Carbon Dioxide Concentrations,1994-02-01,359.04
Monthly Atmospheric Carbon Dioxide Concentrations,1994-03-01,360.11
Monthly Atmospheric Carbon Dioxide Concentrations,1994-04-01,361.36
Monthly Atmospheric Carbon Dioxide Concentrations,1994-05-01,361.78
Monthly Atmospheric Carbon Dioxide Concentrations,1994-06-01,360.94
Monthly Atmospheric Carbon Dioxide Concentrations,1994-07-01,359.51
Monthly Atmospheric Carbon Dioxide Concentrations,1994-08-01,357.59
Monthly Atmospheric Carbon Dioxide Concentrations,1994-09-01,355.86
Monthly Atmospheric Carbon Dioxide Concentrations,1994-10-01,356.21
Monthly Atmospheric Carbon Dioxide Concentrations,1994-11-01,357.65
Monthly Atmospheric Carbon Dioxide Concentrations,1994-12-01,359.1
Monthly Atmospheric Carbon Dioxide Concentrations,1995-01-01,360.04
Monthly Atmospheric Carbon Dioxide Concentrations,1995-02-01,361.0
Monthly Atmospheric Carbon Dioxide Concentrations,1995-03-01,361.98
Monthly Atmospheric Carbon Dioxide Concentrations,1995-04-01,363.44
Monthly Atmospheric Carbon Dioxide Concentrations,1995-05-01,363.83
Monthly Atmospheric Carbon Dioxide Concentrations,1995-06-01,363.33
Monthly Atmospheric Carbon Dioxide Concentrations,1995-07-01,361.78
Monthly Atmospheric Carbon Dioxide Concentrations,1995-08-01,359.33
Monthly Atmospheric Carbon Dioxide Concentrations,1995-09-01,358.32
Monthly Atmospheric Carbon Dioxide Concentrations,1995-10-01,358.14
Monthly Atmospheric Carbon Dioxide Concentrations,1995-11-01,359.61
Monthly Atmospheric Carbon Dioxide Concentrations,1995-12-01,360.82
Monthly Atmospheric Carbon Dioxide Concentrations,1996-01-01,362.2
Monthly Atmospheric Carbon Dioxide Concentrations,1996-02-01,363.36
Monthly Atmospheric Carbon Dioxide Concentrations,1996-03-01,364.28
Monthly Atmospheric Carbon Dioxide Concentrations,1996-04-01,364.69
