Masked_Ticker,Day_Num,Adj Close,Close,High,Low,Open,Volume
ABROYYXB,501,3.38,46.19,46.26,45.18,45.34,6163500
ABROYYXB,502,3.409,46.59,46.6,46.2,46.36,5852800
ABROYYXB,503,3.375,46.12,46.95,46.1,46.95,4404700
ABROYYXB,504,3.429,46.87,46.99,46.27,46.57,6864000
ABROYYXB,505,3.422,46.77,47.07,46.3,46.7,7835000
ABROYYXB,506,3.219,44.0,45.12,42.5,45.05,32262900
ABROYYXB,507,3.161,43.2,43.95,42.79,43.15,12247200
ABROYYXB,508,3.059,41.81,43.38,41.35,42.95,14548400
ABROYYXB,509,3.07,41.96,42.84,41.56,42.67,9427500
ABROYYXB,510,2.963,40.5,40.86,38.78,40.48,29971200
ABROYYXB,511,2.927,40.0,40.3,39.61,40.0,10309900
ABROYYXB,512,2.914,39.83,39.98,39.28,39.52,7425000
ABROYYXB,513,2.947,40.28,40.4,39.94,40.0,7332400
ABROYYXB,514,2.947,40.27,40.4,39.88,40.26,5781900
ABROYYXB,515,2.947,40.28,40.88,39.35,39.5,6598600
ABROYYXB,516,2.937,40.14,40.66,39.89,40.18,4866200
ABROYYXB,517,2.941,40.2,40.62,40.1,40.15,4800200
ABROYYXB,518,2.999,40.99,41.01,39.12,40.15,8415800
ABROYYXB,519,2.947,40.27,41.39,39.99,41.3,6168900
ABROYYXB,520,2.947,40.27,40.48,39.73,40.48,5780100
ABROYYXB,521,2.927,40.0,40.4,39.55,40.36,5875700
ABROYYXB,522,2.927,40.01,40.87,39.83,40.45,6877500
ABROYYXB,523,2.947,40.28,41.0,40.15,40.41,8018500
ABROYYXB,524,3.0,41.0,41.14,40.1,40.45,5282300
ABROYYXB,525,2.942,40.21,40.94,40.15,40.8,4387300
ABROYYXB,526,2.941,40.2,40.44,39.9,40.0,6406600
ABROYYXB,527,2.925,39.97,40.19,39.56,40.0,5430400
ABROYYXB,528,2.921,39.92,40.08,39.44,40.08,4966200
ABROYYXB,529,2.955,40.39,40.47,39.75,39.78,4695600
ABROYYXB,530,2.979,40.72,40.78,40.2,40.41,5035800
ABROYYXB,531,2.952,40.35,40.85,40.11,40.75,3433700
ABROYYXB,532,2.916,39.85,40.2,39.62,40.0,6251400
ABROYYXB,533,2.916,39.85,40.0,39.0,39.95,6900700
ABROYYXB,534,2.852,38.98,39.84,38.85,39.6,9643000
ABROYYXB,535,2.851,38.97,39.17,38.75,38.99,6445300
ABROYYXB,536,2.922,39.94,39.97,38.72,38.75,5777400
ABROYYXB,537,2.919,39.89,39.99,39.5,39.76,4905700
ABROYYXB,538,2.892,39.53,39.93,39.4,39.7,4383700
ABROYYXB,539,2.927,40.0,40.03,39.6,39.6,3867100
ABROYYXB,540,2.923,39.95,40.04,39.6,40.0,4350600
ABROYYXB,541,2.947,40.28,40.49,40.21,40.47,5434100
ABROYYXB,542,2.993,40.91,41.02,40.15,40.58,5799600
ABROYYXB,543,3.016,41.22,41.25,40.74,40.92,3946100
ABROYYXB,544,3.052,41.71,41.88,41.0,41.06,5796400
ABROYYXB,545,3.065,41.89,42.37,41.51,41.71,6314200
ABROYYXB,546,3.057,41.78,42.01,41.63,41.89,4993600
ABROYYXB,547,3.037,41.5,41.82,41.38,41.75,4395300
ABROYYXB,548,3.044,41.6,41.82,41.41,41.82,5695900
ABROYYXB,549,3.035,41.48,41.63,41.46,41.58,4502400
ABROYYXB,550,3.043,41.59,41.92,41.49,41.65,6518200
ABROYYXB,551,3.051,41.02,41.35,40.8,40.92,5408500
ABROYYXB,552,3.018,40.57,41.1,40.15,40.87,5150200
ABROYYXB,553,3.02,40.6,40.95,40.3,40.57,4447800
ABROYYXB,554,3.01,40.46,40.82,40.35,40.69,8035700
ABROYYXB,555,3.321,44.65,45.35,44.4,45.1,33701700
ABROYYXB,556,3.315,44.56,44.78,44.16,44.5,10573000
ABROYYXB,557,3.317,44.59,44.99,44.39,44.56,7887000
ABROYYXB,558,3.309,44.48,44.71,44.25,44.4,8357800
ABROYYXB,559,3.31,44.5,44.72,44.13,44.37,6527600
ABROYYXB,560,3.292,44.26,44.72,44.05,44.55,6618100
ABROYYXB,561,3.264,43.88,44.48,43.85,44.26,6310700
ABROYYXB,562,3.225,43.35,43.8,43.28,43.8,6772200
ABROYYXB,563,3.236,43.5,43.5,43.1,43.35,6866000
ABROYYXB,564,3.258,43.8,44.09,43.11,43.25,7021500
ABROYYXB,565,3.3,44.37,44.44,43.85,43.95,6268400
ABROYYXB,566,3.295,44.3,44.42,44.07,44.4,4347800
ABROYYXB,567,3.324,44.69,45.0,44.4,44.4,6206800
ABROYYXB,568,3.35,45.03,45.29,44.6,44.73,4572200
ABROYYXB,569,3.358,45.14,45.16,44.72,45.04,4459200
ABROYYXB,570,3.344,44.95,45.21,44.85,45.2,6450200
