series,day,value
T1098,640,4352.6
T1098,641,4356.1
T1098,642,4305.2
T1098,643,4295.5
T1098,644,4292.3
T1098,645,4330.8
T1098,646,4275.9
T1098,647,4306.1
T1098,648,4361.3
T1098,649,4325.4
T1098,650,4388.0
T1098,651,4390.2
T1098,652,4363.3
T1098,653,4345.9
T1098,654,4405.4
T1098,655,4411.6
T1098,656,4386.7
T1098,657,4455.7
T1098,658,4500.9
T1098,659,4548.5
T1098,660,4431.3
T1098,661,4502.1
T1098,662,4482.8
T1098,663,4426.9
T1098,664,4432.0
T1098,665,4446.5
T1098,666,4473.9
T1098,667,4478.0
T1098,668,4420.8
T1098,669,4421.0
T1098,670,4435.8
T1098,671,4449.6
T1098,672,4366.7
T1098,673,4387.1
T1098,674,4335.9
T1098,675,4336.6
T1098,676,4351.6
T1098,677,4362.1
T1098,678,4339.1
T1098,679,4337.6
T1098,680,4358.6
T1098,681,4374.4
T1098,682,4345.4
T1098,683,4317.7
T1098,684,4305.7
T1098,685,4308.5
T1098,686,4339.6
T1098,687,4337.8
T1098,688,4397.4
T1098,689,4418.6
T1098,690,4508.1
T1098,691,4527.4
T1098,692,4483.1
T1098,693,4489.7
T1098,694,4467.6
T1098,695,4572.4
T1098,696,4538.7
T1098,697,4547.4
T1098,698,4516.5
T1098,699,4507.3
T1098,700,4479.0
T1098,701,4506.9
T1098,702,4489.2
T1098,703,4549.0
T1098,704,4641.4
T1098,705,4620.7
T1098,706,4502.2
T1098,707,4516.3
T1098,708,4498.6
T1098,709,4387.5
T1098,710,4359.0
T1098,711,4383.8
T1098,712,4447.3
T1098,713,4394.1
T1098,714,4446.6
T1098,715,4487.8
T1098,716,4492.7
T1098,717,4497.2
T1098,718,4502.0
T1098,719,4630.4
T1098,720,4573.3
T1098,721,4630.5
T1098,722,4728.6
T1098,723,4800.9
T1098,724,4687.7
T1098,725,4686.1
T1098,726,4674.8
T1098,727,4679.2
T1098,728,4677.6
T1098,729,4653.1
T1098,730,4712.5
T1098,731,4722.5
T1098,732,4625.7
T1098,733,4640.0
T1098,734,4771.2
T1098,735,4737.5
T1098,736,4696.8
T1098,737,4590.2
T1098,738,4438.7
T1098,739,4399.2
T1098,740,4307.7
T1098,741,4397.2
T1098,742,4443.6
T1098,743,4440.5
T1098,744,4383.8
T1098,745,4314.4
T1098,746,4259.0
T1098,747,4228.3
T1098,748,4333.6
T1098,749,4307.3
T1098,750,4374.5
T1098,751,4359.7
T1098,752,4400.7
T1098,753,4491.7
T1098,754,4444.6
T1098,755,4421.3
T1098,756,4383.9
T1098,757,4425.0
T1098,758,4371.7
T1098,759,4359.4
T1098,760,4332.6
T1098,761,4304.0
T1098,762,4299.3
T1098,763,4343.8
T1098,764,4330.3
T1098,765,4276.5
T1098,766,4224.7
T1098,767,4253.9
T1098,768,4271.0
T1098,769,4305.1
T1098,770,4352.9
T1098,771,4278.9
T1098,772,4293.6
T1098,773,4272.5
T1098,774,4280.3
T1098,775,4334.6
T1098,776,4388.4
T1098,777,4305.9
T1098,778,4186.6
T1098,779,4089.2
T1098,780,4079.2
T1098,781,4076.1
T1098,782,4088.2
T1098,783,4058.1
T1098,784,4056.3
T1098,785,4093.6
T1098,786,4203.4
T1098,787,4137.1
T1098,788,4151.3
T1098,789,4179.7
T1098,790,4244.3
T1098,791,4312.8
T1098,792,4402.9
T1098,793,4423.5
T1098,794,4366.7
T1098,795,4415.7
T1098,796,4387.7
T1098,797,4458.4
T1098,798,4494.4
T1098,799,4444.5
T1098,800,4347.9
T1098,801,4357.7
T1098,802,4343.8
T1098,803,4371.0
T1098,804,4376.0
T1098,805,4377.1
T1098,806,4428.6
T1098,807,4416.4
T1098,808,4368.4
T1098,809,4382.3
T1098,810,4461.2
T1098,811,4434.6
T1098,812,4515.3
T1098,813,4479.7
T1098,814,4477.7
T1098,815,4463.4
T1098,816,4471.0
T1098,817,4392.7
T1098,818,4471.1
T1098,819,4470.7
T1098,820,4458.2
T1098,821,4427.9
T1098,822,4403.3
T1098,823,4401.3
T1098,824,4374.6
T1098,825,4414.1
T1098,826,4404.8
T1098,827,4418.8
T1098,828,4368.5
T1098,829,4332.9
T1098,830,4264.5
T1098,831,4215.6
T1098,832,4260.4
T1098,833,4245.0
T1098,834,4337.9
T1098,835,4353.7
T1098,836,4312.6
T1098,837,4330.7
T1098,838,4281.0
T1098,839,4332.3
T1098,840,4281.4
T1098,841,4223.1
T1098,842,4279.3
T1098,843,4203.5
T1098,844,4203.1
T1098,845,4242.8
T1098,846,4281.0
T1098,847,4289.2
T1098,848,4271.6
T1098,849,4298.0
T1098,850,4267.9
T1098,851,4274.8
T1098,852,4255.9
T1098,853,4273.2
T1098,854,4263.6
T1098,855,4234.1
T1098,856,4220.0
T1098,857,4228.2
T1098,858,4347.8
T1098,859,4368.3
T1098,860,4347.6
T1098,861,4366.6
T1098,862,4342.3
T1098,863,4342.6
T1098,864,4417.6
T1098,865,4457.9
T1098,866,4456.2
T1098,867,4385.8
T1098,868,4378.5
T1098,869,4419.9
T1098,870,4388.4
T1098,871,4440.8
T1098,872,4345.9
T1098,873,4323.2
T1098,874,4309.1
T1098,875,4303.8
T1098,876,4297.5
T1098,877,4319.8
T1098,878,4320.1
T1098,879,4351.9
T1098,880,4347.8
T1098,881,4318.5
T1098,882,4288.5
T1098,883,4265.3
T1098,884,4280.1
T1098,885,4259.7
T1098,886,4195.4
T1098,887,4150.2
T1098,888,4153.5
T1098,889,4197.6
T1098,890,4206.0
T1098,891,4234.5
T1098,892,4243.8
T1098,893,4253.9
T1098,894,4248.8
T1098,895,4215.6
T1098,896,4253.5
T1098,897,4303.3
T1098,898,4304.8
T1098,899,4287.0
T1098,900,4300.6
T1098,901,4315.2
T1098,902,4379.1
T1098,903,4357.1
T1098,904,4413.6
T1098,905,4451.2
T1098,906,4460.1
T1098,907,4500.3
T1098,908,4543.2
T1098,909,4541.3
T1098,910,4545.4
T1098,911,4573.3
T1098,912,4680.4
T1098,913,4651.8
T1098,914,4623.8
T1098,915,4578.2
T1098,916,4602.9
T1098,917,4668.9
T1098,918,4732.6
T1098,919,4732.5
T1098,920,4708.6
T1098,921,4750.9
T1098,922,4778.0
T1098,923,4790.6
T1098,924,4785.5
T1098,925,4800.5
T1098,926,4745.0
T1098,927,4706.5
T1098,928,4724.8
T1098,929,4791.9
T1098,930,4772.2
T1098,931,4792.6
T1098,932,4730.0
T1098,933,4680.3
T1098,934,4707.4
T1098,935,4678.4
T1098,936,4696.3
T1098,937,4771.2
T1098,938,4808.0
T1098,939,4804.6
T1098,940,4791.5
T1098,941,4799.0
T1098,942,4792.7
T1098,943,4840.6
T1098,944,4799.9
T1098,945,4766.4
T1098,946,4761.2
T1098,947,4744.9
T1098,948,4796.0
T1098,949,4807.9
T1098,950,4875.9
T1098,951,4817.8
T1098,952,4839.6
T1098,953,4852.6
T1098,954,4848.3
T1098,955,4803.5
T1098,956,4816.3
T1098,957,4857.8
T1098,958,4863.5
T1098,959,4917.4
T1098,960,4907.5
T1098,961,4893.7
T1098,962,4955.1
T1098,963,4980.6
T1098,964,4984.1
T1098,965,4992.7
T1098,966,5045.1
T1098,967,5020.0
T1098,968,4990.9
T1098,969,4967.7
T1098,970,4966.7
T1098,971,4984.3
T1098,972,4998.7
T1098,973,5038.8
T1098,974,5047.9
T1098,975,5083.1
T1098,976,5141.2
T1098,977,5183.2
T1098,978,5130.9
T1098,979,5123.2
T1098,980,5158.0
T1098,981,5199.2
T1098,982,5179.9
T1098,983,5151.6
T1098,984,5144.2
T1098,985,5212.6
T1098,986,5219.5
T1098,987,5254.9
T1098,988,5247.3
T1098,989,5190.7
T1098,990,5231.7
T1098,991,5188.4
T1098,992,5169.2
T1098,993,5144.6
T1098,994,5085.2
T1098,995,5064.9
T1098,996,5042.6
T1098,997,5090.1
T1098,998,5020.1
T1098,999,5056.5
T1098,1000,5021.0
T1098,1001,5017.3
T1098,1002,5032.8
T1098,1003,5051.8
T1098,1004,5061.0
T1098,1005,4947.4
T1098,1006,4996.9
T1098,1007,5042.7
T1098,1008,5039.6
T1098,1009,5046.3
T1098,1010,5067.5
T1098,1011,5013.9
T1098,1012,5056.2
T1098,1013,5006.2
T1098,1014,4989.7
T1098,1015,4927.9
T1098,1016,4935.2
T1098,1017,4940.5
T1098,1018,4965.0
T1098,1019,4959.4
T1098,1020,4890.5
T1098,1021,4865.7
T1098,1022,4761.3
T1098,1023,4746.6
T1098,1024,4736.0
T1098,1025,4735.7
T1098,1026,4803.9
T1098,1027,4851.5
T1098,1028,4887.7
T1098,1029,4869.8
T1098,1030,4869.4
T1098,1031,4855.0
T1098,1032,4815.3
T1098,1033,4729.0
T1098,1034,4686.6
T1098,1035,4694.1
T1098,1036,4732.4
T1098,1037,4817.1
T1098,1038,4830.3
T1098,1039,4825.8
T1098,1040,4867.9
T1098,1041,4833.2
T1098,1042,4825.7
T1098,1043,4819.3
T1098,1044,4829.9
T1098,1045,4735.6
T1098,1046,4753.9
T1098,1047,4788.9
T1098,1048,4794.6
T1098,1049,4775.8
T1098,1050,4786.1
T1098,1051,4764.9
T1098,1052,4720.3
T1098,1053,4708.0
T1098,1054,4643.8
T1098,1055,4659.3
T1098,1056,4685.9
T1098,1057,4716.1
T1098,1058,4762.5
T1098,1059,4703.6
T1098,1060,4757.7
T1098,1061,4793.5
T1098,1062,4765.3
T1098,1063,4741.0
T1098,1064,4728.7
T1098,1065,4705.8
T1098,1066,4720.1
T1098,1067,4729.8
T1098,1068,4702.1
T1098,1069,4640.2
T1098,1070,4646.2
T1098,1071,4587.7
T1098,1072,4622.8
T1098,1073,4709.2
T1098,1074,4778.5
T1098,1075,4695.5
T1098,1076,4717.6
T1098,1077,4709.8
T1098,1078,4715.6
T1098,1079,4745.1
T1098,1080,4754.4
T1098,1081,4769.1
T1098,1082,4755.7
T1098,1083,4720.5
T1098,1084,4702.8
T1098,1085,4729.3
T1098,1086,4763.1
T1098,1087,4780.9
T1098,1088,4811.1
T1098,1089,4865.9
T1098,1090,4879.4
T1098,1091,4868.3
T1098,1092,4808.1
T1098,1093,4821.7
T1098,1094,4847.7
T1098,1095,4911.4
T1098,1096,4911.7
T1098,1097,4882.1
T1098,1098,4851.1
T1098,1099,4827.9
T1098,1100,4829.0
T1098,1101,4765.7
T1098,1102,4793.6
T1098,1103,4838.9
T1098,1104,4798.2
T1098,1105,4813.3
T1098,1106,4788.8
T1098,1107,4780.9
T1098,1108,4753.7
T1098,1109,4710.8
T1098,1110,4776.5
T1098,1111,4871.0
T1098,1112,4894.1
T1098,1113,4900.7
T1098,1114,4815.2
T1098,1115,4793.2
T1098,1116,4815.2
T1098,1117,4743.9
T1098,1118,4711.8
T1098,1119,4730.7
T1098,1120,4690.2
T1098,1121,4691.8
T1098,1122,4662.2
T1098,1123,4669.9
T1098,1124,4673.2
T1098,1125,4612.3
T1098,1126,4592.9
T1098,1127,4648.3
T1098,1128,4622.7
T1098,1129,4656.5
T1098,1130,4632.7
T1098,1131,4677.2
T1098,1132,4646.6
T1098,1133,4729.8
T1098,1134,4685.7
T1098,1135,4707.5
T1098,1136,4715.0
T1098,1137,4681.3
T1098,1138,4687.6
T1098,1139,4671.3
T1098,1140,4618.4
T1098,1141,4680.4
T1098,1142,4651.9
T1098,1143,4593.5
T1098,1144,4529.3
T1098,1145,4541.2
T1098,1146,4535.7
T1098,1147,4575.9
T1098,1148,4599.4
T1098,1149,4582.2
T1098,1150,4510.0
T1098,1151,4483.5
T1098,1152,4506.6
T1098,1153,4507.3
T1098,1154,4499.3
T1098,1155,4506.5
T1098,1156,4428.0
T1098,1157,4416.0
T1098,1158,4450.4
T1098,1159,4436.0
T1098,1160,4467.9
T1098,1161,4494.5
T1098,1162,4496.8
T1098,1163,4481.6
T1098,1164,4455.6
T1098,1165,4477.4
T1098,1166,4497.7
T1098,1167,4511.8
T1098,1168,4485.1
T1098,1169,4524.8
T1098,1170,4484.7
T1098,1171,4495.5
T1098,1172,4536.5
T1098,1173,4535.0
T1098,1174,4542.3
T1098,1175,4573.7
T1098,1176,4567.2
T1098,1177,4593.5
T1098,1178,4557.5
T1098,1179,4603.8
T1098,1180,4622.0
T1098,1181,4697.0
T1098,1182,4686.2
T1098,1183,4716.4
T1098,1184,4733.7
T1098,1185,4857.9
T1098,1186,4847.1
T1098,1187,4788.5
T1098,1188,4773.3
T1098,1189,4758.6
T1098,1190,4780.4
T1098,1191,4798.8
T1098,1192,4812.9
T1098,1193,4821.8
T1098,1194,4775.7
T1098,1195,4911.2
T1098,1196,4994.0
T1098,1197,4980.3
T1098,1198,5026.3
T1098,1199,5033.8
T1098,1200,5013.7
T1098,1201,5027.6
T1098,1202,4987.7
T1098,1203,4943.3
T1098,1204,4905.3
T1098,1205,4852.5
T1098,1206,4887.6
T1098,1207,4838.7
T1098,1208,4883.2
T1098,1209,4884.3
T1098,1210,4925.4
T1098,1211,4921.0
T1098,1212,4878.9
T1098,1213,4888.3
T1098,1214,4914.8
T1098,1215,4964.4
T1098,1216,4907.9
T1098,1217,4875.8
