series,hour_num,value
T104,375,1438.0
T104,376,1416.0
T104,377,1623.0
T104,378,1964.0
T104,379,1926.0
T104,380,2034.0
T104,381,2113.0
T104,382,2239.0
T104,383,2252.0
T104,384,2258.0
T104,385,2261.0
T104,386,2177.0
T104,387,2112.0
T104,388,2109.0
T104,389,2083.0
T104,390,1924.0
T104,391,1835.0
T104,392,1633.0
T104,393,1385.0
T104,394,1227.0
T104,395,1293.0
T104,396,1286.0
T104,397,1313.0
T104,398,1317.0
T104,399,1280.0
T104,400,1284.0
T104,401,1506.0
T104,402,1644.0
T104,403,1790.0
T104,404,1896.0
T104,405,1997.0
T104,406,2051.0
T104,407,2048.0
T104,408,2008.0
T104,409,1971.0
T104,410,2074.0
T104,411,1957.0
T104,412,1963.0
T104,413,1956.0
T104,414,1816.0
T104,415,1627.0
T104,416,1494.0
T104,417,1459.0
T104,418,1307.0
T104,419,1259.0
T104,420,1243.0
T104,421,1265.0
T104,422,1236.0
T104,423,1188.0
T104,424,1265.0
T104,425,1342.0
T104,426,1515.0
T104,427,1794.0
T104,428,1896.0
T104,429,1943.0
T104,430,2025.0
T104,431,2035.0
T104,432,2012.0
T104,433,2016.0
T104,434,1994.0
T104,435,1875.0
T104,436,1814.0
T104,437,1845.0
T104,438,1691.0
T104,439,1723.0
T104,440,1614.0
T104,441,1555.0
T104,442,1428.0
T104,443,1412.0
T104,444,1327.0
T104,445,1288.0
T104,446,1268.0
T104,447,1249.0
T104,448,1288.0
T104,449,1387.0
T104,450,1564.0
T104,451,1709.0
T104,452,1867.0
T104,453,1877.0
T104,454,1938.0
T104,455,2000.0
T104,456,1986.0
T104,457,2061.0
T104,458,2027.0
T104,459,1949.0
T104,460,1942.0
T104,461,1950.0
T104,462,1715.0
T104,463,1614.0
T104,464,1539.0
T104,465,1434.0
T104,466,1243.0
T104,467,1255.0
T104,468,1257.0
T104,469,1273.0
T104,470,1303.0
T104,471,1322.0
T104,472,1395.0
T104,473,1514.0
T104,474,1580.0
T104,475,1462.0
T104,476,1520.0
T104,477,1711.0
T104,478,1797.0
T104,479,1945.0
T104,480,2034.0
T104,481,2064.0
T104,482,1977.0
T104,483,1931.0
T104,484,1857.0
T104,485,1780.0
T104,486,1693.0
T104,487,1646.0
T104,488,1647.0
T104,489,1609.0
T104,490,1489.0
T104,491,1500.0
T104,492,1506.0
T104,493,1525.0
T104,494,1564.0
T104,495,1511.0
T104,496,1486.0
T104,497,1775.0
T104,498,1858.0
T104,499,1980.0
T104,500,2072.0
T104,501,2199.0
T104,502,2238.0
T104,503,2406.0
T104,504,2507.0
T104,505,2528.0
T104,506,2508.0
T104,507,2447.0
T104,508,2458.0
T104,509,2351.0
T104,510,2195.0
T104,511,2141.0
T104,512,2115.0
T104,513,2027.0
T104,514,1857.0
T104,515,1869.0
T104,516,1863.0
T104,517,1884.0
T104,518,1861.0
T104,519,1851.0
T104,520,1809.0
T104,521,1893.0
T104,522,2141.0
T104,523,2265.0
T104,524,2264.0
T104,525,2332.0
T104,526,2479.0
T104,527,2583.0
T104,528,2636.0
T104,529,2638.0
T104,530,2581.0
T104,531,2511.0
T104,532,2494.0
T104,533,2467.0
T104,534,2274.0
T104,535,2262.0
T104,536,2119.0
T104,537,1988.0
T104,538,1822.0
T104,539,1791.0
T104,540,1788.0
T104,541,1891.0
T104,542,1880.0
T104,543,1811.0
T104,544,1799.0
T104,545,1902.0
T104,546,2054.0
T104,547,2183.0
T104,548,2355.0
T104,549,2501.0
T104,550,2518.0
T104,551,2644.0
T104,552,2599.0
T104,553,2499.0
T104,554,2444.0
T104,555,2473.0
T104,556,2429.0
T104,557,2364.0
T104,558,2192.0
T104,559,2122.0
T104,560,2008.0
T104,561,1891.0
T104,562,1699.0
T104,563,1660.0
