series,month,value
T10897,2003-07-01,5170.0
T10897,2003-08-01,5190.0
T10897,2003-09-01,5220.0
T10897,2003-10-01,5240.0
T10897,2003-11-01,5170.0
T10897,2003-12-01,5090.0
T10897,2004-01-01,4950.0
T10897,2004-02-01,4960.0
T10897,2004-03-01,5010.0
T10897,2004-04-01,5090.0
T10897,2004-05-01,5180.0
T10897,2004-06-01,5250.0
T10897,2004-07-01,5250.0
T10897,2004-08-01,5290.0
T10897,2004-09-01,5340.0
T10897,2004-10-01,5270.0
T10897,2004-11-01,5170.0
T10897,2004-12-01,5130.0
T10897,2005-01-01,4970.0
T10897,2005-02-01,5010.0
T10897,2005-03-01,5080.0
T10897,2005-04-01,5190.0
T10897,2005-05-01,5270.0
T10897,2005-06-01,5290.0
T10897,2005-07-01,5280.0
T10897,2005-08-01,5280.0
T10897,2005-09-01,5310.0
T10897,2005-10-01,5340.0
T10897,2005-11-01,5250.0
T10897,2005-12-01,5180.0
T10897,2006-01-01,5010.0
T10897,2006-02-01,5100.0
T10897,2006-03-01,5110.0
T10897,2006-04-01,5180.0
T10897,2006-05-01,5350.0
T10897,2006-06-01,5430.0
T10897,2006-07-01,5470.0
T10897,2006-08-01,5420.0
T10897,2006-09-01,5490.0
T10897,2006-10-01,5540.0
T10897,2006-11-01,5400.0
T10897,2006-12-01,5350.0
T10897,2007-01-01,5200.0
T10897,2007-02-01,5180.0
T10897,2007-03-01,5240.0
T10897,2007-04-01,5360.0
T10897,2007-05-01,5400.0
T10897,2007-06-01,5510.0
T10897,2007-07-01,5600.0
T10897,2007-08-01,5560.0
T10897,2007-09-01,5600.0
T10897,2007-10-01,5690.0
T10897,2007-11-01,5500.0
T10897,2007-12-01,5450.0
T10897,2008-01-01,5390.0
T10897,2008-02-01,5360.0
T10897,2008-03-01,5410.0
T10897,2008-04-01,5550.0
T10897,2008-05-01,5520.0
T10897,2008-06-01,5550.0
T10897,2008-07-01,5640.0
T10897,2008-08-01,5570.0
T10897,2008-09-01,5620.0
T10897,2008-10-01,5690.0
T10897,2008-11-01,5410.0
T10897,2008-12-01,5290.0
T10897,2009-01-01,5140.0
T10897,2009-02-01,5020.0
T10897,2009-03-01,4990.0
T10897,2009-04-01,5130.0
T10897,2009-05-01,5040.0
T10897,2009-06-01,5080.0
T10897,2009-07-01,5170.0
T10897,2009-08-01,5080.0
T10897,2009-09-01,5140.0
T10897,2009-10-01,5340.0
T10897,2009-11-01,5100.0
T10897,2009-12-01,4990.0
T10897,2010-01-01,4890.0
T10897,2010-02-01,4840.0
T10897,2010-03-01,4870.0
T10897,2010-04-01,4990.0
T10897,2010-05-01,5000.0
T10897,2010-06-01,5070.0
T10897,2010-07-01,5220.0
T10897,2010-08-01,5150.0
T10897,2010-09-01,5120.0
T10897,2010-10-01,5280.0
T10897,2010-11-01,5140.0
T10897,2010-12-01,4990.0
T10897,2011-01-01,4860.0
T10897,2011-02-01,4870.0
T10897,2011-03-01,4890.0
T10897,2011-04-01,5040.0
T10897,2011-05-01,5160.0
T10897,2011-06-01,5200.0
T10897,2011-07-01,5160.0
T10897,2011-08-01,5270.0
T10897,2011-09-01,5330.0
T10897,2011-10-01,5410.0
T10897,2011-11-01,5320.0
T10897,2011-12-01,5170.0
T10897,2012-01-01,5070.0
T10897,2012-02-01,5090.0
T10897,2012-03-01,5200.0
T10897,2012-04-01,5240.0
T10897,2012-05-01,5400.0
T10897,2012-06-01,5470.0
T10897,2012-07-01,5470.0
T10897,2012-08-01,5540.0
T10897,2012-09-01,5570.0
T10897,2012-10-01,5650.0
T10897,2012-11-01,5520.0
T10897,2012-12-01,5370.0
T10897,2013-01-01,5250.0
T10897,2013-02-01,5340.0
T10897,2013-03-01,5380.0
T10897,2013-04-01,5540.0
T10897,2013-05-01,5700.0
T10897,2013-06-01,5740.0
T10897,2013-07-01,5730.0
T10897,2013-08-01,5830.0
T10897,2013-09-01,5880.0
T10897,2013-10-01,5940.0
T10897,2013-11-01,5790.0
T10897,2013-12-01,5690.0
T10897,2014-01-01,5570.0
T10897,2014-02-01,5650.0
T10897,2014-03-01,5720.0
T10897,2014-04-01,5800.0
T10897,2014-05-01,5880.0
T10897,2014-06-01,5950.0
T10897,2014-07-01,5890.0
T10897,2014-08-01,5990.0
T10897,2014-09-01,6030.0
T10897,2014-10-01,6140.0
T10897,2014-11-01,5970.0
T10897,2014-12-01,5880.0
T10897,2015-01-01,5780.0
T10897,2015-02-01,5820.0
T10897,2015-03-01,5880.0
T10897,2015-04-01,5950.0
T10897,2015-05-01,6030.0
T10897,2015-06-01,6080.0
T10897,2015-07-01,6130.0
T10897,2015-08-01,6220.0
T10897,2015-09-01,6250.0
T10897,2015-10-01,6300.0
T10897,2015-11-01,6210.0
T10897,2015-12-01,6110.0
T10897,2016-01-01,6020.0
T10897,2016-02-01,6070.0
T10897,2016-03-01,6110.0
T10897,2016-04-01,6160.0
T10897,2016-05-01,6230.0
T10897,2016-06-01,6290.0
T10897,2016-07-01,6300.0
T10897,2016-08-01,6390.0
T10897,2016-09-01,6430.0
T10897,2016-10-01,6520.0
T10897,2016-11-01,6430.0
T10897,2016-12-01,6270.0
T11042,2003-07-01,2803.8
T11042,2003-08-01,2824.8
T11042,2003-09-01,2829.3
T11042,2003-10-01,2860.9
T11042,2003-11-01,2865.7
T11042,2003-12-01,2883.6
T11042,2004-01-01,2825.1
T11042,2004-02-01,2848.5
T11042,2004-03-01,2864.3
T11042,2004-04-01,2865.1
T11042,2004-05-01,2877.3
T11042,2004-06-01,2869.0
T11042,2004-07-01,2865.7
T11042,2004-08-01,2870.0
T11042,2004-09-01,2875.0
T11042,2004-10-01,2907.6
T11042,2004-11-01,2928.4
T11042,2004-12-01,2934.6
T11042,2005-01-01,2867.6
T11042,2005-02-01,2881.8
T11042,2005-03-01,2899.7
T11042,2005-04-01,2907.3
T11042,2005-05-01,2911.3
T11042,2005-06-01,2917.6
T11042,2005-07-01,2907.4
T11042,2005-08-01,2924.2
T11042,2005-09-01,2946.9
T11042,2005-10-01,2968.7
T11042,2005-11-01,2993.3
T11042,2005-12-01,3014.7
T11042,2006-01-01,2944.8
T11042,2006-02-01,2969.7
T11042,2006-03-01,2984.7
