series,quarter,value
T10695,2007-12-31,1700.0
T10695,2008-03-31,1740.0
T10695,2008-06-30,1931.0
T10695,2008-09-30,2648.0
T10695,2008-12-31,1962.0
T10695,2009-03-31,1833.0
T10695,2009-06-30,1974.0
T10695,2009-09-30,2009.0
T10695,2009-12-31,2133.0
T10695,2010-03-31,2610.0
T10695,2010-06-30,2932.0
T10695,2010-09-30,2867.0
T10695,2010-12-31,3228.0
T10695,2011-03-31,4040.0
T10695,2011-06-30,3810.0
T10695,2011-09-30,4155.0
T10695,2011-12-31,4543.0
T10695,2012-03-31,5082.0
T10695,2012-06-30,4351.0
T10695,2012-09-30,5011.0
T10695,2012-12-31,4375.0
T10695,2013-03-31,4941.0
T10695,2013-06-30,6193.0
T10695,2013-09-30,5061.0
T10695,2013-12-31,3982.0
T10695,2014-03-31,3956.0
T10695,2014-06-30,4536.0
T10695,2014-09-30,4316.0
T10695,2014-12-31,4553.0
T10695,2015-03-31,3414.0
T10695,2015-06-30,3304.0
T10695,2015-09-30,3017.0
T10695,2015-12-31,2812.0
T10695,2016-03-31,2400.0
T10695,2016-06-30,2411.0
T10695,2016-09-30,3214.0
T10695,2016-12-31,2940.0
T10695,2017-03-31,3465.0
T10695,2017-06-30,3630.0
T10696,2007-12-31,2475.8
T10696,2008-03-31,2584.9
T10696,2008-06-30,2875.1
T10696,2008-09-30,2963.5
T10696,2008-12-31,2753.1
T10696,2009-03-31,2457.6
T10696,2009-06-30,2538.5
T10696,2009-09-30,2536.0
T10696,2009-12-31,2828.5
T10696,2010-03-31,2838.0
T10696,2010-06-30,3121.1
T10696,2010-09-30,3268.8
T10696,2010-12-31,3274.4
T10696,2011-03-31,3687.5
T10696,2011-06-30,3411.0
T10696,2011-09-30,3475.5
T10696,2011-12-31,3734.6
T10696,2012-03-31,3908.7
T10696,2012-06-30,3636.1
T10696,2012-09-30,3820.6
T10696,2012-12-31,3728.2
T10696,2013-03-31,3703.3
T10696,2013-06-30,3967.1
T10696,2013-09-30,3761.7
T10696,2013-12-31,3725.0
T10696,2014-03-31,3576.7
T10696,2014-06-30,3594.7
T10696,2014-09-30,3569.9
T10696,2014-12-31,3697.8
T10696,2015-03-31,3759.5
T10696,2015-06-30,3906.8
T10696,2015-09-30,3616.8
T10696,2015-12-31,3707.4
T10696,2016-03-31,3675.7
T10696,2016-06-30,3923.0
T10696,2016-09-30,3744.5
T10696,2016-12-31,4316.4
T10696,2017-03-31,4347.5
T10696,2017-06-30,4454.0
T10729,2007-12-31,2580.0
T10729,2008-03-31,2290.0
T10729,2008-06-30,2380.0
T10729,2008-09-30,2950.0
T10729,2008-12-31,3060.0
T10729,2009-03-31,2540.0
T10729,2009-06-30,2390.0
T10729,2009-09-30,2850.0
T10729,2009-12-31,2390.0
T10729,2010-03-31,2230.0
T10729,2010-06-30,2450.0
T10729,2010-09-30,3110.0
T10729,2010-12-31,2770.0
T10729,2011-03-31,2480.0
T10729,2011-06-30,2510.0
T10729,2011-09-30,3290.0
T10729,2011-12-31,3150.0
T10729,2012-03-31,2820.0
T10729,2012-06-30,2960.0
T10729,2012-09-30,3350.0
T10729,2012-12-31,3040.0
T10729,2013-03-31,2640.0
T10729,2013-06-30,2730.0
T10729,2013-09-30,3400.0
T10729,2013-12-31,2990.0
T10729,2014-03-31,2540.0
T10729,2014-06-30,2710.0
T10729,2014-09-30,3140.0
T10729,2014-12-31,2920.0
T10729,2015-03-31,2680.0
T10729,2015-06-30,2710.0
T10729,2015-09-30,3240.0
T10729,2015-12-31,3530.0
T10729,2016-03-31,2560.0
T10729,2016-06-30,2740.0
T10729,2016-09-30,3380.0
T10729,2016-12-31,3250.0
T10729,2017-03-31,2640.0
T10729,2017-06-30,2410.0
T16618,2007-12-31,4230.0
T16618,2008-03-31,4060.0
T16618,2008-06-30,4460.0
T16618,2008-09-30,4910.0
T16618,2008-12-31,4720.0
T16618,2009-03-31,4400.0
T16618,2009-06-30,4500.0
T16618,2009-09-30,4920.0
T16618,2009-12-31,4680.0
T16618,2010-03-31,4580.0
T16618,2010-06-30,4870.0
T16618,2010-09-30,5290.0
T16618,2010-12-31,5040.0
T16618,2011-03-31,4800.0
T16618,2011-06-30,4870.0
T16618,2011-09-30,5510.0
T16618,2011-12-31,5290.0
T16618,2012-03-31,4890.0
T16618,2012-06-30,5100.0
T16618,2012-09-30,5330.0
T16618,2012-12-31,5080.0
T16618,2013-03-31,5110.0
T16618,2013-06-30,5430.0
T16618,2013-09-30,5940.0
T16618,2013-12-31,5770.0
T16618,2014-03-31,5710.0
T16618,2014-06-30,5560.0
T16618,2014-09-30,5910.0
T16618,2014-12-31,5850.0
T16618,2015-03-31,5400.0
T16618,2015-06-30,5250.0
T16618,2015-09-30,5900.0
T16618,2015-12-31,5870.0
T16618,2016-03-31,5490.0
T16618,2016-06-30,5650.0
T16618,2016-09-30,6590.0
T16618,2016-12-31,6510.0
T16618,2017-03-31,6060.0
T16618,2017-06-30,6000.0
T16623,2007-12-31,1307.0
T16623,2008-03-31,1345.0
T16623,2008-06-30,1475.0
T16623,2008-09-30,1414.0
T16623,2008-12-31,1342.0
T16623,2009-03-31,1299.0
T16623,2009-06-30,1371.0
T16623,2009-09-30,1393.0
T16623,2009-12-31,1377.0
T16623,2010-03-31,1440.0
T16623,2010-06-30,1582.0
T16623,2010-09-30,1633.0
T16623,2010-12-31,1545.0
T16623,2011-03-31,1595.0
T16623,2011-06-30,1659.0
T16623,2011-09-30,1738.0
T16623,2011-12-31,1623.0
T16623,2012-03-31,1664.0
