StockCode,InvoiceDate,Quantity,Sales
20685,2011-05-31,2.0,15.9
20685,2011-06-01,3.0,23.85
20685,2011-06-02,8.0,63.6
20685,2011-06-03,20.0,135.0
20685,2011-06-04,0.0,0.0
20685,2011-06-05,6.0,47.7
20685,2011-06-06,2.0,15.9
20685,2011-06-07,203.0,947.69
20685,2011-06-08,13.0,108.71
20685,2011-06-09,305.0,1421.59
20685,2011-06-10,24.0,166.8
20685,2011-06-11,0.0,0.0
20685,2011-06-12,1.0,7.95
20685,2011-06-13,3.0,31.69
20685,2011-06-14,0.0,0.0
20685,2011-06-15,51.0,345.45
20685,2011-06-16,0.0,0.0
20685,2011-06-17,0.0,0.0
20685,2011-06-18,0.0,0.0
20685,2011-06-19,1.0,7.95
20685,2011-06-20,10.0,67.5
20685,2011-06-21,32.0,226.24
20685,2011-06-22,0.0,0.0
20685,2011-06-23,2.0,15.9
20685,2011-06-24,0.0,0.0
20685,2011-06-25,0.0,0.0
20685,2011-06-26,1.0,7.95
20685,2011-06-27,14.0,107.98
20685,2011-06-28,0.0,0.0
20685,2011-06-29,0.0,0.0
20685,2011-06-30,5.0,39.75
20685,2011-07-01,3.0,32.53
20685,2011-07-02,0.0,0.0
20685,2011-07-03,2.0,15.9
20685,2011-07-04,402.0,1865.26
20685,2011-07-05,2.0,15.9
20685,2011-07-06,1.0,7.95
20685,2011-07-07,11.0,75.45
20685,2011-07-08,6.0,47.7
20685,2011-07-09,0.0,0.0
20685,2011-07-10,2.0,15.9
20685,2011-07-11,22.0,151.58
20685,2011-07-12,9.0,82.95
20685,2011-07-13,3.0,24.53
20685,2011-07-14,27.0,190.99
20685,2011-07-15,5.0,40.77
20685,2011-07-16,0.0,0.0
20685,2011-07-17,0.0,0.0
20685,2011-07-18,22.0,159.92
20685,2011-07-19,10.0,79.5
20685,2011-07-20,24.0,167.82
20685,2011-07-21,12.0,83.4
20685,2011-07-22,26.0,184.06
20685,2011-07-23,0.0,0.0
20685,2011-07-24,13.0,91.35
20685,2011-07-25,11.0,75.45
20685,2011-07-26,4.0,31.8
20685,2011-07-27,7.0,55.65
20685,2011-07-28,0.0,0.0
20685,2011-07-29,-1.0,-6.75
20685,2011-07-30,0.0,0.0
20685,2011-07-31,0.0,0.0
20685,2011-08-01,1.0,7.95
20685,2011-08-02,5.0,47.59
20685,2011-08-03,-5.0,-27.75
20685,2011-08-04,26.0,190.54
20685,2011-08-05,3.0,23.85
20685,2011-08-06,0.0,0.0
20685,2011-08-07,0.0,0.0
20685,2011-08-08,14.0,99.3
20685,2011-08-09,2.0,15.9
20685,2011-08-10,0.0,0.0
20685,2011-08-11,7.0,116.41
20685,2011-08-12,1.0,15.79
20685,2011-08-13,0.0,0.0
20685,2011-08-14,5.0,39.75
20685,2011-08-15,2.0,15.9
20685,2011-08-16,0.0,0.0
20685,2011-08-17,20.0,160.0
20685,2011-08-18,4.0,31.8
20685,2011-08-19,12.0,83.4
20685,2011-08-20,0.0,0.0
20685,2011-08-21,0.0,0.0
20685,2011-08-22,18.0,131.1
20685,2011-08-23,4.0,31.8
20685,2011-08-24,12.0,100.76
20685,2011-08-25,2.0,24.58
20685,2011-08-26,4.0,31.8
20685,2011-08-27,0.0,0.0
20685,2011-08-28,0.0,0.0
20685,2011-08-29,0.0,0.0
20685,2011-08-30,3.0,47.37
20685,2011-08-31,4.0,49.16
20685,2011-09-01,9.0,72.45
20685,2011-09-02,13.0,99.79
20685,2011-09-03,0.0,0.0
20685,2011-09-04,6.0,49.5
20685,2011-09-05,2.0,16.5
20685,2011-09-06,0.0,0.0
20685,2011-09-07,1.0,8.25
20685,2011-09-08,5.0,41.25
20685,2011-09-09,-7.0,-46.05
20685,2011-09-10,0.0,0.0
20685,2011-09-11,15.0,110.85
20685,2011-09-12,10.0,70.8
20685,2011-09-13,3.0,24.75
20685,2011-09-14,0.0,0.0
20685,2011-09-15,10.0,70.8
20685,2011-09-16,1.0,16.63
20685,2011-09-17,0.0,0.0
20685,2011-09-18,0.0,0.0
20685,2011-09-19,8.0,65.4
20685,2011-09-20,3.0,49.89
20685,2011-09-21,0.0,0.0
20685,2011-09-22,4.0,33.0
20685,2011-09-23,2.0,16.5
20685,2011-09-24,0.0,0.0
20685,2011-09-25,0.0,0.0
20685,2011-09-26,12.0,87.3
20685,2011-09-27,22.0,158.1
20685,2011-09-28,8.0,73.54
20685,2011-09-29,10.0,70.8
20685,2011-09-30,42.0,336.5
20685,2011-10-01,0.0,0.0
20685,2011-10-02,1.0,8.25
20685,2011-10-03,0.0,0.0
20685,2011-10-04,17.0,128.55
20685,2011-10-05,9.0,74.25
20685,2011-10-06,0.0,0.0
20685,2011-10-07,20.0,141.6
20685,2011-10-08,0.0,0.0
20685,2011-10-09,6.0,49.5
20685,2011-10-10,3.0,33.13
20685,2011-10-11,2.0,16.5
20685,2011-10-12,0.0,0.0
20685,2011-10-13,9.0,91.01
20685,2011-10-14,10.0,70.8
20685,2011-10-15,0.0,0.0
20685,2011-10-16,27.0,194.67
20685,2011-10-17,3.0,24.75
20685,2011-10-18,5.0,48.79
20685,2011-10-19,4.0,41.38
20685,2011-10-20,0.0,0.0
20685,2011-10-21,0.0,0.0
20685,2011-10-22,0.0,0.0
20685,2011-10-23,2.0,16.5
20685,2011-10-24,15.0,120.43
20685,2011-10-25,2.0,16.5
20685,2011-10-26,1.0,16.63
20685,2011-10-27,5.0,41.25
20685,2011-10-28,17.0,128.55
20685,2011-10-29,0.0,0.0
20685,2011-10-30,14.0,103.8
20685,2011-10-31,17.0,167.09
20685,2011-11-01,11.0,79.05
20685,2011-11-02,7.0,72.83
20685,2011-11-03,1.0,8.25
20685,2011-11-04,44.0,316.2
20685,2011-11-05,0.0,0.0
20685,2011-11-06,16.0,120.3
20685,2011-11-07,8.0,66.0
20685,2011-11-08,6.0,73.8
20685,2011-11-09,13.0,103.09
20685,2011-11-10,7.0,57.75
20685,2011-11-11,2.0,16.5
20685,2011-11-12,0.0,0.0
20685,2011-11-13,2.0,16.5
20685,2011-11-14,-20.0,-136.92
20685,2011-11-15,13.0,95.55
20685,2011-11-16,11.0,79.05
20685,2011-11-17,3.0,24.75
20685,2011-11-18,14.0,118.88
20685,2011-11-19,0.0,0.0
20685,2011-11-20,1.0,8.25
20685,2011-11-21,64.0,516.0
20685,2011-11-22,30.0,212.4
20685,2011-11-23,3.0,40.67
20685,2011-11-24,5.0,56.33
20685,2011-11-25,0.0,0.0
20685,2011-11-26,0.0,0.0
20685,2011-11-27,0.0,0.0
20685,2011-11-28,4.0,33.0
20725,2011-05-31,42.0,102.4
20725,2011-06-01,11.0,20.63
20725,2011-06-02,26.0,42.9
20725,2011-06-03,41.0,67.65
20725,2011-06-04,0.0,0.0
20725,2011-06-05,64.0,105.6
20725,2011-06-06,20.0,33.0
20725,2011-06-07,195.0,304.23
20725,2011-06-08,236.0,534.9
20725,2011-06-09,54.0,94.06
20725,2011-06-10,55.0,140.4
20725,2011-06-11,0.0,0.0
20725,2011-06-12,25.0,41.25
20725,2011-06-13,11.0,20.63
20725,2011-06-14,25.0,96.69
20725,2011-06-15,168.0,257.2
20725,2011-06-16,47.0,77.55
20725,2011-06-17,84.0,208.11
20725,2011-06-18,0.0,0.0
20725,2011-06-19,113.0,166.45
20725,2011-06-20,27.0,47.03
20725,2011-06-21,52.0,168.55
20725,2011-06-22,22.0,36.3
20725,2011-06-23,50.0,84.98
20725,2011-06-24,41.0,67.65
20725,2011-06-25,0.0,0.0
20725,2011-06-26,33.0,54.45
20725,2011-06-27,25.0,41.25
20725,2011-06-28,139.0,265.62
20725,2011-06-29,3.0,7.43
20725,2011-06-30,58.0,98.18
20725,2011-07-01,31.0,51.15
20725,2011-07-02,0.0,0.0
20725,2011-07-03,46.0,75.9
20725,2011-07-04,194.0,312.5
20725,2011-07-05,27.0,47.03
20725,2011-07-06,39.0,64.35
20725,2011-07-07,10.0,16.5
20725,2011-07-08,148.0,226.68
20725,2011-07-09,0.0,0.0
20725,2011-07-10,12.0,19.8
20725,2011-07-11,45.0,76.73
20725,2011-07-12,39.0,64.35
20725,2011-07-13,38.0,62.7
20725,2011-07-14,43.0,70.95
20725,2011-07-15,12.0,22.28
20725,2011-07-16,0.0,0.0
20725,2011-07-17,53.0,87.45
20725,2011-07-18,63.0,103.95
20725,2011-07-19,283.0,451.5
20725,2011-07-20,25.0,41.25
20725,2011-07-21,29.0,47.85
20725,2011-07-22,67.0,161.85
20725,2011-07-23,0.0,0.0
20725,2011-07-24,24.0,39.6
20725,2011-07-25,42.0,69.3
20725,2011-07-26,59.0,192.51
20725,2011-07-27,70.0,115.5
20725,2011-07-28,141.0,212.65
20725,2011-07-29,49.0,80.85
20725,2011-07-30,0.0,0.0
20725,2011-07-31,24.0,39.6
20725,2011-08-01,54.0,94.06
20725,2011-08-02,259.0,522.49
20725,2011-08-03,32.0,52.8
20725,2011-08-04,246.0,388.38
20725,2011-08-05,6.0,9.9
20725,2011-08-06,0.0,0.0
20725,2011-08-07,4.0,6.6
20725,2011-08-08,157.0,246.49
20725,2011-08-09,91.0,150.15
20725,2011-08-10,175.0,473.14
20725,2011-08-11,218.0,342.18
20725,2011-08-12,65.0,109.73
20725,2011-08-13,0.0,0.0
20725,2011-08-14,13.0,21.45
20725,2011-08-15,40.0,66.0
20725,2011-08-16,120.0,290.68
20725,2011-08-17,122.0,201.3
20725,2011-08-18,95.0,156.75
20725,2011-08-19,30.0,49.5
20725,2011-08-20,0.0,0.0
20725,2011-08-21,26.0,42.9
20725,2011-08-22,55.0,90.75
20725,2011-08-23,127.0,209.55
20725,2011-08-24,40.0,165.3
20725,2011-08-25,80.0,132.0
20725,2011-08-26,20.0,33.0
20725,2011-08-27,0.0,0.0
20725,2011-08-28,19.0,31.35
20725,2011-08-29,0.0,0.0
20725,2011-08-30,21.0,61.93
20725,2011-08-31,31.0,53.63
20725,2011-09-01,54.0,89.1
20725,2011-09-02,55.0,100.67
20725,2011-09-03,0.0,0.0
20725,2011-09-04,38.0,62.7
20725,2011-09-05,109.0,162.33
20725,2011-09-06,66.0,108.9
20725,2011-09-07,160.0,256.4
20725,2011-09-08,10.0,23.94
20725,2011-09-09,57.0,99.01
20725,2011-09-10,0.0,0.0
20725,2011-09-11,22.0,36.3
20725,2011-09-12,33.0,54.45
20725,2011-09-13,51.0,86.63
20725,2011-09-14,122.0,181.3
20725,2011-09-15,86.0,160.92
20725,2011-09-16,25.0,41.25
20725,2011-09-17,0.0,0.0
20725,2011-09-18,2.0,3.3
20725,2011-09-19,301.0,456.65
20725,2011-09-20,37.0,64.36
20725,2011-09-21,4.0,11.56
20725,2011-09-22,53.0,92.41
20725,2011-09-23,46.0,112.44
20725,2011-09-24,0.0,0.0
20725,2011-09-25,40.0,66.0
20725,2011-09-26,3.0,12.39
20725,2011-09-27,57.0,175.97
20725,2011-09-28,88.0,147.68
20725,2011-09-29,54.0,99.1
20725,2011-09-30,64.0,110.56
20725,2011-10-01,0.0,0.0
20725,2011-10-02,0.0,0.0
20725,2011-10-03,41.0,77.57
20725,2011-10-04,79.0,311.57
20725,2011-10-05,90.0,148.5
20725,2011-10-06,41.0,67.85
20725,2011-10-07,50.0,165.25
20725,2011-10-08,0.0,0.0
20725,2011-10-09,-9.0,-14.85
20725,2011-10-10,36.0,74.28
20725,2011-10-11,113.0,252.65
20725,2011-10-12,52.0,88.28
20725,2011-10-13,75.0,112.95
20725,2011-10-14,150.0,293.7
20725,2011-10-15,0.0,0.0
20725,2011-10-16,6.0,9.9
20725,2011-10-17,22.0,36.3
20725,2011-10-18,65.0,170.14
20725,2011-10-19,26.0,57.78
20725,2011-10-20,110.0,161.5
20725,2011-10-21,39.0,114.0
20725,2011-10-22,0.0,0.0
20725,2011-10-23,14.0,23.1
20725,2011-10-24,8.0,23.12
20725,2011-10-25,37.0,93.32
20725,2011-10-26,52.0,85.8
20725,2011-10-27,45.0,74.25
20725,2011-10-28,94.0,165.03
20725,2011-10-29,0.0,0.0
20725,2011-10-30,78.0,128.7
20725,2011-10-31,10.0,32.21
20725,2011-11-01,6.0,9.9
20725,2011-11-02,117.0,175.53
20725,2011-11-03,30.0,49.5
20725,2011-11-04,38.0,89.18
20725,2011-11-05,0.0,0.0
20725,2011-11-06,122.0,181.3
20725,2011-11-07,30.0,49.5
20725,2011-11-08,61.0,166.02
20725,2011-11-09,161.0,248.13
20725,2011-11-10,93.0,155.93
20725,2011-11-11,88.0,235.39
20725,2011-11-12,0.0,0.0
20725,2011-11-13,23.0,37.95
20725,2011-11-14,155.0,245.67
20725,2011-11-15,232.0,398.58
20725,2011-11-16,66.0,108.9
20725,2011-11-17,71.0,122.11
20725,2011-11-18,77.0,271.03
20725,2011-11-19,0.0,0.0
20725,2011-11-20,49.0,80.85
20725,2011-11-21,37.0,68.49
20725,2011-11-22,47.0,166.09
20725,2011-11-23,37.0,73.45
20725,2011-11-24,44.0,77.56
20725,2011-11-25,93.0,280.05
20725,2011-11-26,0.0,0.0
20725,2011-11-27,18.0,66.11
20725,2011-11-28,58.0,108.1
21137,2011-05-31,0.0,0.0
21137,2011-06-01,0.0,0.0
21137,2011-06-02,0.0,0.0
21137,2011-06-03,336.0,1139.04
21137,2011-06-04,0.0,0.0
21137,2011-06-05,168.0,569.52
21137,2011-06-06,0.0,0.0
21137,2011-06-07,8.0,30.0
21137,2011-06-08,0.0,0.0
21137,2011-06-09,7.0,29.96
21137,2011-06-10,3.0,11.25
21137,2011-06-11,0.0,0.0
21137,2011-06-12,0.0,0.0
21137,2011-06-13,370.0,1265.32
21137,2011-06-14,1.0,7.46
21137,2011-06-15,193.0,654.63
21137,2011-06-16,301.0,1025.07
21137,2011-06-17,0.0,0.0
21137,2011-06-18,0.0,0.0
21137,2011-06-19,0.0,0.0
21137,2011-06-20,15.0,63.67
21137,2011-06-21,108.0,370.44
21137,2011-06-22,0.0,0.0
21137,2011-06-23,0.0,0.0
21137,2011-06-24,8.0,30.0
21137,2011-06-25,0.0,0.0
21137,2011-06-26,0.0,0.0
21137,2011-06-27,120.0,406.8
21137,2011-06-28,0.0,0.0
21137,2011-06-29,0.0,0.0
21137,2011-06-30,40.0,141.36
