StockCode,InvoiceDate,Quantity,Sales
20685,2011-03-01,8.0,72.28
20685,2011-03-02,4.0,31.8
20685,2011-03-03,15.0,115.09
20685,2011-03-04,0.0,0.0
20685,2011-03-05,0.0,0.0
20685,2011-03-06,12.0,83.4
20685,2011-03-07,14.0,124.5
20685,2011-03-08,53.0,381.19
20685,2011-03-09,10.0,79.5
20685,2011-03-10,4.0,31.8
20685,2011-03-11,3.0,23.85
20685,2011-03-12,0.0,0.0
20685,2011-03-13,0.0,0.0
20685,2011-03-14,1.0,7.95
20685,2011-03-15,12.0,83.4
20685,2011-03-16,12.0,83.4
20685,2011-03-17,0.0,0.0
20685,2011-03-18,13.0,91.35
20685,2011-03-19,0.0,0.0
20685,2011-03-20,5.0,39.75
20685,2011-03-21,22.0,150.9
20685,2011-03-22,9.0,80.23
20685,2011-03-23,2.0,15.9
20685,2011-03-24,1.0,7.95
20685,2011-03-25,2.0,15.9
20685,2011-03-26,0.0,0.0
20685,2011-03-27,0.0,0.0
20685,2011-03-28,9.0,71.55
20685,2011-03-29,5.0,65.79
20685,2011-03-30,4.0,31.8
20685,2011-03-31,22.0,188.94
20685,2011-04-01,12.0,83.4
20685,2011-04-02,0.0,0.0
20685,2011-04-03,2.0,15.9
20685,2011-04-04,5.0,47.59
20685,2011-04-05,13.0,91.35
20685,2011-04-06,21.0,142.95
20685,2011-04-07,1.0,7.95
20685,2011-04-08,18.0,131.1
20685,2011-04-09,0.0,0.0
20685,2011-04-10,3.0,23.85
20685,2011-04-11,9.0,71.55
20685,2011-04-12,13.0,91.35
20685,2011-04-13,2.0,15.9
20685,2011-04-14,0.0,0.0
20685,2011-04-15,7.0,81.69
20685,2011-04-16,0.0,0.0
20685,2011-04-17,4.0,31.8
20685,2011-04-18,1.0,7.95
20685,2011-04-19,2.0,15.9
20685,2011-04-20,2.0,15.9
20685,2011-04-21,4.0,31.8
20685,2011-04-22,0.0,0.0
20685,2011-04-23,0.0,0.0
20685,2011-04-24,0.0,0.0
20685,2011-04-25,0.0,0.0
20685,2011-04-26,6.0,56.38
20685,2011-04-27,0.0,0.0
20685,2011-04-28,2.0,15.9
20685,2011-04-29,0.0,0.0
20685,2011-04-30,0.0,0.0
20685,2011-05-01,6.0,47.7
20685,2011-05-02,0.0,0.0
20685,2011-05-03,2.0,15.9
20685,2011-05-04,22.0,150.9
20685,2011-05-05,2.0,15.9
20685,2011-05-06,43.0,301.69
20685,2011-05-07,0.0,0.0
20685,2011-05-08,7.0,55.65
20685,2011-05-09,8.0,71.44
20685,2011-05-10,15.0,133.29
20685,2011-05-11,7.0,63.49
20685,2011-05-12,41.0,277.95
20685,2011-05-13,20.0,135.0
20685,2011-05-14,0.0,0.0
20685,2011-05-15,10.0,67.5
20685,2011-05-16,218.0,1047.1
20685,2011-05-17,37.0,266.83
20685,2011-05-18,18.0,131.1
20685,2011-05-19,12.0,83.4
20685,2011-05-20,2.0,15.9
20685,2011-05-21,0.0,0.0
20685,2011-05-22,4.0,31.8
20685,2011-05-23,0.0,0.0
20685,2011-05-24,0.0,0.0
20685,2011-05-25,3.0,31.69
20685,2011-05-26,43.0,293.85
20685,2011-05-27,19.0,139.05
20685,2011-05-28,0.0,0.0
20685,2011-05-29,1.0,7.95
20685,2011-05-30,0.0,0.0
20685,2011-05-31,2.0,15.9
20685,2011-06-01,3.0,23.85
20685,2011-06-02,8.0,63.6
20685,2011-06-03,20.0,135.0
20685,2011-06-04,0.0,0.0
20685,2011-06-05,6.0,47.7
20685,2011-06-06,2.0,15.9
20685,2011-06-07,203.0,947.69
20685,2011-06-08,13.0,108.71
20685,2011-06-09,305.0,1421.59
20685,2011-06-10,24.0,166.8
20685,2011-06-11,0.0,0.0
20685,2011-06-12,1.0,7.95
20685,2011-06-13,3.0,31.69
20685,2011-06-14,0.0,0.0
20685,2011-06-15,51.0,345.45
20685,2011-06-16,0.0,0.0
20685,2011-06-17,0.0,0.0
20685,2011-06-18,0.0,0.0
20685,2011-06-19,1.0,7.95
20685,2011-06-20,10.0,67.5
20685,2011-06-21,32.0,226.24
20685,2011-06-22,0.0,0.0
20685,2011-06-23,2.0,15.9
20685,2011-06-24,0.0,0.0
20685,2011-06-25,0.0,0.0
20685,2011-06-26,1.0,7.95
20685,2011-06-27,14.0,107.98
20685,2011-06-28,0.0,0.0
20685,2011-06-29,0.0,0.0
20685,2011-06-30,5.0,39.75
20685,2011-07-01,3.0,32.53
20685,2011-07-02,0.0,0.0
20685,2011-07-03,2.0,15.9
20685,2011-07-04,402.0,1865.26
20685,2011-07-05,2.0,15.9
20685,2011-07-06,1.0,7.95
20685,2011-07-07,11.0,75.45
20685,2011-07-08,6.0,47.7
20685,2011-07-09,0.0,0.0
20685,2011-07-10,2.0,15.9
20685,2011-07-11,22.0,151.58
20685,2011-07-12,9.0,82.95
20685,2011-07-13,3.0,24.53
20685,2011-07-14,27.0,190.99
20685,2011-07-15,5.0,40.77
20685,2011-07-16,0.0,0.0
20685,2011-07-17,0.0,0.0
20685,2011-07-18,22.0,159.92
20685,2011-07-19,10.0,79.5
20685,2011-07-20,24.0,167.82
20685,2011-07-21,12.0,83.4
20685,2011-07-22,26.0,184.06
20685,2011-07-23,0.0,0.0
20685,2011-07-24,13.0,91.35
20685,2011-07-25,11.0,75.45
20685,2011-07-26,4.0,31.8
20685,2011-07-27,7.0,55.65
20685,2011-07-28,0.0,0.0
20685,2011-07-29,-1.0,-6.75
20685,2011-07-30,0.0,0.0
20685,2011-07-31,0.0,0.0
20685,2011-08-01,1.0,7.95
20685,2011-08-02,5.0,47.59
20685,2011-08-03,-5.0,-27.75
20685,2011-08-04,26.0,190.54
20685,2011-08-05,3.0,23.85
20685,2011-08-06,0.0,0.0
20685,2011-08-07,0.0,0.0
20685,2011-08-08,14.0,99.3
20685,2011-08-09,2.0,15.9
20685,2011-08-10,0.0,0.0
20685,2011-08-11,7.0,116.41
20685,2011-08-12,1.0,15.79
20685,2011-08-13,0.0,0.0
20685,2011-08-14,5.0,39.75
20685,2011-08-15,2.0,15.9
20685,2011-08-16,0.0,0.0
20685,2011-08-17,20.0,160.0
20685,2011-08-18,4.0,31.8
20685,2011-08-19,12.0,83.4
20685,2011-08-20,0.0,0.0
20685,2011-08-21,0.0,0.0
20685,2011-08-22,18.0,131.1
20685,2011-08-23,4.0,31.8
20685,2011-08-24,12.0,100.76
20685,2011-08-25,2.0,24.58
20685,2011-08-26,4.0,31.8
20685,2011-08-27,0.0,0.0
20685,2011-08-28,0.0,0.0
20685,2011-08-29,0.0,0.0
20685,2011-08-30,3.0,47.37
20685,2011-08-31,4.0,49.16
20685,2011-09-01,9.0,72.45
20685,2011-09-02,13.0,99.79
20685,2011-09-03,0.0,0.0
20685,2011-09-04,6.0,49.5
20685,2011-09-05,2.0,16.5
20685,2011-09-06,0.0,0.0
20685,2011-09-07,1.0,8.25
20685,2011-09-08,5.0,41.25
20685,2011-09-09,-7.0,-46.05
20685,2011-09-10,0.0,0.0
20685,2011-09-11,15.0,110.85
20685,2011-09-12,10.0,70.8
20685,2011-09-13,3.0,24.75
20685,2011-09-14,0.0,0.0
20685,2011-09-15,10.0,70.8
20685,2011-09-16,1.0,16.63
