Series,Month,Sunspots
1,1866-07-01,9.3
1,1866-08-01,12.7
1,1866-09-01,7.3
1,1866-10-01,14.1
1,1866-11-01,9.0
1,1866-12-01,1.5
1,1867-01-01,0.0
1,1867-02-01,0.7
1,1867-03-01,9.2
1,1867-04-01,5.1
1,1867-05-01,2.9
1,1867-06-01,1.5
1,1867-07-01,5.0
1,1867-08-01,4.9
1,1867-09-01,9.8
1,1867-10-01,13.5
1,1867-11-01,9.3
1,1867-12-01,25.2
1,1868-01-01,15.6
1,1868-02-01,15.8
1,1868-03-01,26.5
1,1868-04-01,36.6
1,1868-05-01,26.7
1,1868-06-01,31.1
1,1868-07-01,28.6
1,1868-08-01,34.4
1,1868-09-01,43.8
1,1868-10-01,61.7
1,1868-11-01,59.1
1,1868-12-01,67.6
1,1869-01-01,60.9
1,1869-02-01,59.3
1,1869-03-01,52.7
1,1869-04-01,41.0
1,1869-05-01,104.0
1,1869-06-01,108.4
1,1869-07-01,59.2
1,1869-08-01,79.6
1,1869-09-01,80.6
1,1869-10-01,59.4
1,1869-11-01,77.4
1,1869-12-01,104.3
1,1870-01-01,77.3
1,1870-02-01,114.9
1,1870-03-01,159.4
1,1870-04-01,160.0
1,1870-05-01,176.0
1,1870-06-01,135.6
1,1870-07-01,132.4
1,1870-08-01,153.8
1,1870-09-01,136.0
1,1870-10-01,146.4
1,1870-11-01,147.5
1,1870-12-01,130.0
1,1871-01-01,88.3
1,1871-02-01,125.3
1,1871-03-01,143.2
1,1871-04-01,162.4
1,1871-05-01,145.5
1,1871-06-01,91.7
1,1871-07-01,103.0
1,1871-08-01,110.0
1,1871-09-01,80.3
1,1871-10-01,89.0
1,1871-11-01,105.4
1,1871-12-01,90.3
1,1872-01-01,79.5
1,1872-02-01,120.1
1,1872-03-01,88.4
1,1872-04-01,102.1
1,1872-05-01,107.6
1,1872-06-01,109.9
1,1872-07-01,105.5
1,1872-08-01,92.9
1,1872-09-01,114.6
1,1872-10-01,103.5
1,1872-11-01,112.0
1,1872-12-01,83.9
1,1873-01-01,86.7
1,1873-02-01,107.0
1,1873-03-01,98.3
1,1873-04-01,76.2
1,1873-05-01,47.9
1,1873-06-01,44.8
1,1873-07-01,66.9
1,1873-08-01,68.2
1,1873-09-01,47.5
1,1873-10-01,47.4
1,1873-11-01,55.4
1,1873-12-01,49.2
1,1874-01-01,60.8
1,1874-02-01,64.2
1,1874-03-01,46.4
1,1874-04-01,32.0
1,1874-05-01,44.6
1,1874-06-01,38.2
1,1874-07-01,67.8
1,1874-08-01,61.3
1,1874-09-01,28.0
1,1874-10-01,34.3
1,1874-11-01,28.9
1,1874-12-01,29.3
1,1875-01-01,14.6
1,1875-02-01,22.2
1,1875-03-01,33.8
1,1875-04-01,29.1
1,1875-05-01,11.5
1,1875-06-01,23.9
1,1875-07-01,12.5
1,1875-08-01,14.6
1,1875-09-01,2.4
1,1875-10-01,12.7
1,1875-11-01,17.7
1,1875-12-01,9.9
1,1876-01-01,14.3
1,1876-02-01,15.0
1,1876-03-01,31.2
1,1876-04-01,2.3
1,1876-05-01,5.1
1,1876-06-01,1.6
1,1876-07-01,15.2
1,1876-08-01,8.8
1,1876-09-01,9.9
1,1876-10-01,14.3
1,1876-11-01,9.9
1,1876-12-01,8.2
1,1877-01-01,24.4
1,1877-02-01,8.7
1,1877-03-01,11.7
1,1877-04-01,15.8
1,1877-05-01,21.2
1,1877-06-01,13.4
1,1877-07-01,5.9
1,1877-08-01,6.3
1,1877-09-01,16.4
1,1877-10-01,6.7
1,1877-11-01,14.5
1,1877-12-01,2.3
1,1878-01-01,3.3
1,1878-02-01,6.0
1,1878-03-01,7.8
1,1878-04-01,0.1
1,1878-05-01,5.8
1,1878-06-01,6.4
1,1878-07-01,0.1
1,1878-08-01,0.0
1,1878-09-01,5.3
1,1878-10-01,1.1
1,1878-11-01,4.1
1,1878-12-01,0.5
1,1879-01-01,0.8
1,1879-02-01,0.6
1,1879-03-01,0.0
1,1879-04-01,6.2
1,1879-05-01,2.4
1,1879-06-01,4.8
1,1879-07-01,7.5
1,1879-08-01,10.7
1,1879-09-01,6.1
1,1879-10-01,12.3
1,1879-11-01,12.9
1,1879-12-01,7.2
1,1880-01-01,24.0
1,1880-02-01,27.5
1,1880-03-01,19.5
1,1880-04-01,19.3
1,1880-05-01,23.5
1,1880-06-01,34.1
1,1880-07-01,21.9
1,1880-08-01,48.1
1,1880-09-01,66.0
1,1880-10-01,43.0
1,1880-11-01,30.7
1,1880-12-01,29.6
1,1881-01-01,36.4
1,1881-02-01,53.2
1,1881-03-01,51.5
1,1881-04-01,51.7
1,1881-05-01,43.5
1,1881-06-01,60.5
1,1881-07-01,76.9
1,1881-08-01,58.0
1,1881-09-01,53.2
